lesson,source_file,pdf_page,source_heading,role,planned_anchor,chapter,status
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,29,Core Concept / Partition – Unit of Parallelism / ● A partition is a subdivision of a topic.,chapter material or chapter divider,b7/ch05,A topic becomes parallel lanes,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,30,"Partition / Parallel processing / Each partition can be processed independently by a separate consumer, which increases",chapter material or chapter divider,b7/ch06,More lanes do not mean free speed,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,31,Partition / Horizontal scaling / More traffic? Add more machines. Partitions can be redistributed across brokers when the,chapter material or chapter divider,b7/ch06,More lanes do not mean free speed,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,32,Partition / High throughput / Single queue (slow),chapter material or chapter divider,b7/ch06,More lanes do not mean free speed,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,33,Deciding the number of partitions depends on many factors: / ● Throughput Requirements / ○ Kafka partitions scale horizontally. A single partition can typically handle 5–10 MB/s,chapter material or chapter divider,b7/ch06,More lanes do not mean free speed,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,34,Core Concept / Offset – Position of a Message / ● An offset is a unique number assigned,chapter material or chapter divider,b7/ch06,More lanes do not mean free speed,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,35,Producer Fundamentals / ● A producer is an application that sends records / (messages) to a Kafka topic.,chapter material or chapter divider,b7/ch06,More lanes do not mean free speed,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,36,Consumer Groups / ● A consumer is an application that reads / messages from a Kafka topic.,chapter material or chapter divider,b7/ch07,The readers divide the work,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,37,Replication & Fault Tolerance / ● Kafka ensures fault tolerance through / replication.,chapter material or chapter divider,b7/ch08,A broker disappears,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,38,Kafka Message Delivery Guarantees / ● Delivery guarantees define how many / times a message may be delivered to a,chapter material or chapter divider,b7/ch09,The crash between processing and commit,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,39,"At most once (setting acks=0 in producer) / ● The Producer sends the message and doesn't wait for an acknowledgment. / ● On the Consumer side, the offset is committed before the message is processed. If the process crashes",chapter material or chapter divider,b7/ch09,The crash between processing and commit,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,40,"Retention & Log Model / By configuring Kafka retention policies, you can control how long messages remain in a topic and when / they are either deleted or compacted.",chapter material or chapter divider,b7/ch10,The log remembers; Debezium translates,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,41,Debezium,chapter material or chapter divider,b7/ch10,The log remembers; Debezium translates,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,42,Debezium / ● Debezium is an open-source CDC platform that / captures row-level changes from databases and,chapter material or chapter divider,b7/ch10,The log remembers; Debezium translates,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,43,"Debezium / ● Sources: MySQL, MariaDB, MongoDB, PostgreSQL, Oracle, SQL Server, Cassandra, Vitess, Spanner, Informix / ● Sink: Debezium captures from supported source databases; downstream sinks are typically handled",chapter material or chapter divider,b7/ch10,The log remembers; Debezium translates,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,44,fullstackdatascience.com / References / • https://docs.docker.com/docker-hub/,references,source-analysis.md,Original reference list retained in authoring audit,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b7,Lession_7_Data_Engineering_Ingestion_Layer.pdf,45,Thank you,closing,b7/summary,Closing page,implemented; see ../reviews/b7-coverage-ledger.md for substantive-unit verdicts
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,1,EDAI-1-K9 / Data Engineering / Storage Layer,cover,b8/hero,Source identity / course introduction,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,2,Learn / About / From Data Lake to Data Swamp02/,agenda,b8/navigation,"Agenda, including named-only supplements",planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,3,Data / Warehouse / & modeling,chapter material or chapter divider,b8/ch01,The same bytes need different homes,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,4,Data Storage System / Data -  Why data storage is important? / Data is simply recorded information - anything,chapter material or chapter divider,b8/ch01,The same bytes need different homes,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,5,"Data Storage System / File, Block and Object Storage",chapter material or chapter divider,b8/ch01,The same bytes need different homes,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,6,Data Storage System / File Storage / ● Files stored in a hierarchical structure,chapter material or chapter divider,b8/ch01,The same bytes need different homes,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,7,Data Storage System / Block Storage / ● Used for large and structured files -,chapter material or chapter divider,b8/ch01,The same bytes need different homes,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,8,Data Storage System / Object Storage / ● Used for large amounts of unstructured,chapter material or chapter divider,b8/ch01,The same bytes need different homes,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,9,Object Storage Block Storage File Storage / How data is stored Objects Block Files / Metadata Nearly unlimited and,chapter material or chapter divider,b8/ch01,The same bytes need different homes,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,10,Object Storage Block Storage File Storage / Scalability Easy Not easy Easy / Modification Not possible (need to,chapter material or chapter divider,b8/ch01,The same bytes need different homes,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,11,"We need persist data for quick access, but tradeoff duration / Data Storage System / Cache",chapter material or chapter divider,b8/ch02,"Memory buys time, not permanence",planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,12,Redis Memcached Hazelcast / Sub-millisecond Yes Yes Yes / Data partition Yes Yes Yes (Automatic Sharding),chapter material or chapter divider,b8/ch02,"Memory buys time, not permanence",planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,13,Redis Memcached Hazelcast / Snapshots Yes No Yes / Replication Yes No Yes,chapter material or chapter divider,b8/ch02,"Memory buys time, not permanence",planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,14,Data Storage System / HDFS / Replication,chapter material or chapter divider,b8/ch03,Finding the blocks across machines,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,15,"● Kafka is a popular streaming framework, which uses Tiered Storage (AWS S3 or GCS) to / store long-term data. / ● Problem: Heavy load for brokers if historical data is read frequently?",chapter material or chapter divider,b8/ch03,Finding the blocks across machines,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,16,Source System Storage / Purpose Generate data Persist data / Ownership Typically owned by other teams,chapter material or chapter divider,b8/ch03,Finding the blocks across machines,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,17,"From Infrastructure to Analytics Layer / Data storage systems, such as HDFS, / distributed caches, and object storage focus",chapter material or chapter divider,b8/ch04,Stored data is not yet an agreed truth,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,18,Data Warehouse / Organizations build a Data Warehouse that / integrates data from multiple sources and,chapter material or chapter divider,b8/ch04,Stored data is not yet an agreed truth,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,19,"Data Modeling / Data modeling is the process of designing how data is structured, organized, and related inside / a data warehouse so that it can be stored, queried, and analyzed efficiently.",chapter material or chapter divider,b8/ch04,Stored data is not yet an agreed truth,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,20,Data Modeling / Role of Data Modeling / Data,chapter material or chapter divider,b8/ch04,Stored data is not yet an agreed truth,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,21,Data Modeling / Types of data modeling / Data Model,chapter material or chapter divider,b8/ch04,Stored data is not yet an agreed truth,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,22,Types of data modeling / Conceptual Data Model / The conceptual data model represents a big-picture plan that defines what data a,chapter material or chapter divider,b8/ch04,Stored data is not yet an agreed truth,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,23,Types of data modeling / Logical Data Model / The logical data model builds upon the conceptual model and provides a detailed,chapter material or chapter divider,b8/ch04,Stored data is not yet an agreed truth,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,24,Types of data modeling / Physical Data Model / The physical data model represents the implementation of the data model in a specific,chapter material or chapter divider,b8/ch04,Stored data is not yet an agreed truth,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,25,Data modelling Techniques for Data / Warehouse / Star Schema,chapter material or chapter divider,b8/ch05,Shape the model for the question,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,26,Data modelling Techniques for Data / Warehouse / Snowflake Schema,chapter material or chapter divider,b8/ch05,Shape the model for the question,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,27,From Data / Lake to Data / Swamp,chapter material or chapter divider,b8/ch06,A lake keeps possibilities open,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,28,"Data Lake / ● A data lake is a centralized repository that / stores all your structured, semi-structured,",chapter material or chapter divider,b8/ch06,A lake keeps possibilities open,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,29,Data Lake Core Characteristics / Core characteristics of data lakes / Data lakes are built to scale horizontally.,chapter material or chapter divider,b8/ch06,A lake keeps possibilities open,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,30,Data Lake Architecture / Data Lake architecture / Raw data from all sources flows into the,chapter material or chapter divider,b8/ch06,A lake keeps possibilities open,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,31,"Data Lake vs Data Warehouse / Feature Data Lake Data Warehouse / Data type Structured, semi-structured,",chapter material or chapter divider,b8/ch06,A lake keeps possibilities open,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,32,"Data Swamp / ● A data swamp is a disorganized, unmanaged, / or under-governed data repository - where",chapter material or chapter divider,b8/ch07,The lake becomes a swamp,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,33,"Why Data Lake turns into Data Swamp? / ● Despite the advantages of a Data Lake, it often / fail to deliver business values because they",chapter material or chapter divider,b8/ch07,The lake becomes a swamp,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,34,"Common Reasons for Swampification / ● Without metadata, you don’t know what / data exists, who owns it, or how it’s",chapter material or chapter divider,b8/ch07,The lake becomes a swamp,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,35,"Common Reasons for Swampification / ● Data access controls, versioning, and / lineage are absent.",chapter material or chapter divider,b8/ch07,The lake becomes a swamp,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,36,Common Reasons for Swampification / ● Ingesting raw data without cleaning or / profiling leads to inconsistent formats,chapter material or chapter divider,b8/ch07,The lake becomes a swamp,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,37,"Common Reasons for Swampification / ● Data quality is not simply a technical outcome, / but a product of clearly defined accountability",chapter material or chapter divider,b8/ch07,The lake becomes a swamp,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,38,"Common Reasons for Swampification / ● Data structures evolve, but no one updates schema definitions. / ● Result: ETL pipelines break, and debugging becomes a nightmare.",chapter material or chapter divider,b8/ch07,The lake becomes a swamp,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,39,"Common Reasons for Swampification / ● Without cataloging, lineage tracking, and / observability tools, managing large lakes",chapter material or chapter divider,b8/ch07,The lake becomes a swamp,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,40,Real-World Impacts of Data Swamps / ● Wasted Storage Costs: Terabytes of / unused or duplicate data.,chapter material or chapter divider,b8/ch07,The lake becomes a swamp,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,41,"How to Prevent This Phenomenon? / ● Use tools like AWS Glue Data Catalog, / Apache Atlas, or Amundsen.",chapter material or chapter divider,b8/ch08,Give every dataset a steward and a trail,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,42,How to Prevent This Phenomenon? / ● Define data ownership and stewardship. / ● Use RBAC (Role-Based Access Control) for data access.,chapter material or chapter divider,b8/ch08,Give every dataset a steward and a trail,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,43,How to Prevent This Phenomenon? / ● Use data profiling and validation tools like / Great Expectations or Monte Carlo.,chapter material or chapter divider,b8/ch08,Give every dataset a steward and a trail,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,44,"How to Prevent This Phenomenon? / ● Raw Zone: Unprocessed data. / ● Cleansed Zone: Validated, processed",chapter material or chapter divider,b8/ch08,Give every dataset a steward and a trail,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,45,How to Prevent This Phenomenon? / ● Track schema versions using tools like / Apache Avro or Delta Lake.,chapter material or chapter divider,b8/ch08,Give every dataset a steward and a trail,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,46,"How to Prevent This Phenomenon? / ● Encourage self-service with searchable / catalogs. Tag datasets with purpose,",chapter material or chapter divider,b8/ch08,Give every dataset a steward and a trail,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,47,"How to Prevent This Phenomenon? / ● Implement pipeline observability (e.g., / Airflow, OpenLineage).",chapter material or chapter divider,b8/ch08,Give every dataset a steward and a trail,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,48,How to Prevent This Phenomenon? / ● Set retention policies. / ● Archive or delete unused data periodically.,chapter material or chapter divider,b8/ch08,Give every dataset a steward and a trail,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,49,Lake House,chapter material or chapter divider,b8/ch09,"One foundation, several analytical workloads",planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,50,Lake House / A data lakehouse is a data platform that combines the flexible data storage of data lakes with / the high-performance analytics capabilities of data warehouses.,chapter material or chapter divider,b8/ch09,"One foundation, several analytical workloads",planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,51,"Lake House / Data sources - all types of data (structured, / unstructured, streaming) flow in",chapter material or chapter divider,b8/ch09,"One foundation, several analytical workloads",planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,52,Multi-hop / architecture Multi-Hop Architecture02/ / Medallion Architecture01/,chapter material or chapter divider,b8/ch10,"Three stages, increasing responsibility",planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,53,Multi-Hop Architecture / Multi-Hop Architecture means data moves through multiple processing stages (hops) before / reaching the final dataset.,chapter material or chapter divider,b8/ch10,"Three stages, increasing responsibility",planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,54,Medallion Architecture / Batch / Streaming,chapter material or chapter divider,b8/ch10,"Three stages, increasing responsibility",planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,55,Multi-Hop Architecture / ● Stores all data ingested from external source / systems.,chapter material or chapter divider,b8/ch10,"Three stages, increasing responsibility",planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,56,"Multi-Hop Architecture / ● Data from the Bronze layer is cleaned, matched, / merged, and standardized.",chapter material or chapter divider,b8/ch10,"Three stages, increasing responsibility",planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,57,"Multi-Hop Architecture / ● Contains consumption-ready, project-specific / datasets.",chapter material or chapter divider,b8/ch10,"Three stages, increasing responsibility",planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,58,fullstackdatascience.com / References / • What Is a Lakehouse?,references,source-analysis.md,Original reference list retained in authoring audit,planned; implementation and coverage review pending
b8,Lession_8_Data_Engineering_Storage_Layer.pdf,59,Thank you,closing,b8/summary,Closing page,planned; implementation and coverage review pending
b9,Lession_9_Data_Engineering_Transformation_Layer_1_Batch.pdf,1,EDAI-1 / Data Engineering / Transformation,cover,b9/hero,Source identity / course introduction,planned; implementation and coverage review pending
b9,Lession_9_Data_Engineering_Transformation_Layer_1_Batch.pdf,2,Learn / About / Abstractions & APIs 03/,agenda,b9/navigation,"Agenda, including named-only supplements",planned; implementation and coverage review pending
b9,Lession_9_Data_Engineering_Transformation_Layer_1_Batch.pdf,3,Why Spark,chapter material or chapter divider,b9/ch01,One machine reaches its limit,planned; implementation and coverage review pending
b9,Lession_9_Data_Engineering_Transformation_Layer_1_Batch.pdf,4,"Why Spark for the Transformation Layer / From raw data to scalable data processing / The Transformation Layer is where raw data is cleaned, standardized, joined, aggregated, and",chapter material or chapter divider,b9/ch01,One machine reaches its limit,planned; implementation and coverage review pending
b9,Lession_9_Data_Engineering_Transformation_Layer_1_Batch.pdf,5,The Problem with Single-Machine / Web Servers/ / Applications,chapter material or chapter divider,b9/ch01,One machine reaches its limit,planned; implementation and coverage review pending
b9,Lession_9_Data_Engineering_Transformation_Layer_1_Batch.pdf,6,Distributed Batch Processing / Batch Job / Submission,chapter material or chapter divider,b9/ch01,One machine reaches its limit,planned; implementation and coverage review pending
b9,Lession_9_Data_Engineering_Transformation_Layer_1_Batch.pdf,7,"What is Spark? / Spark is a distributed data processing engine used to run batch, streaming, SQL, machine / learning, and graph workloads at scale.",chapter material or chapter divider,b9/ch01,One machine reaches its limit,planned; implementation and coverage review pending
b9,Lession_9_Data_Engineering_Transformation_Layer_1_Batch.pdf,8,"Why Spark Fits the Transformation Layer / ● The Transformation Layer needs an engine that can handle large data, complex logic, and / repeated reuse efficiently.",chapter material or chapter divider,b9/ch01,One machine reaches its limit,planned; implementation and coverage review pending
b9,Lession_9_Data_Engineering_Transformation_Layer_1_Batch.pdf,9,Architectur / e & / Execution,chapter material or chapter divider,b9/ch02,A program becomes tasks,planned; implementation and coverage review pending
b9,Lession_9_Data_Engineering_Transformation_Layer_1_Batch.pdf,10,Spark Architecture / Spark Context / Driver Program,chapter material or chapter divider,b9/ch02,A program becomes tasks,planned; implementation and coverage review pending
b9,Lession_9_Data_Engineering_Transformation_Layer_1_Batch.pdf,11,"Inside a Worker Node / A worker node does not directly run your whole Spark program. It runs executors, and / executors run tasks.",chapter material or chapter divider,b9/ch02,A program becomes tasks,planned; implementation and coverage review pending
b9,Lession_9_Data_Engineering_Transformation_Layer_1_Batch.pdf,12,What Is a Partition? / Definition: A partition is one split of a dataset. / ● Spark divides a large dataset into multiple partitions.,chapter material or chapter divider,b9/ch02,A program becomes tasks,planned; implementation and coverage review pending
